word_type	word_subtype	word	dual_category	lemma_freq	freq_bin	dist_to_clinical	dist_to_colloquial	axis_score	valence_score	axis_score_bootstrap_mean	axis_score_bootstrap_std	valence_score_bootstrap_mean	valence_score_bootstrap_std
Target words	Depression	depresszív	False	12524.0	6	0.4844128105930261	0.5878487882116699	-0.07161689604252125	-0.18362085014898238	-0.050748042011987925	0.03042893396658201	-0.17314911480075318	0.028696281664962086
Target words	Neurosis and compulsion	kényszeres	False	22891.0	8	0.5813694669153722	0.6900992587356917	-0.07076041332126173	-0.13341669476817322	-0.049648491996397794	0.030088301000609673	-0.12647927444712745	0.03354515521423632
Target words	Depression	depressziós	False	55483.0	9	0.5399773971276124	0.6408403882597348	-0.06712522349342179	-0.15895599797212373	-0.04672327151252579	0.031096766364072232	-0.15115751226876945	0.04003032557561551
Target words	Insanity and madness	abnormális	False	17703.0	7	0.6203067908686485	0.706353753684612	-0.05271387001508821	-0.18527541073753445	-0.03207525959554864	0.03135488496716783	-0.17484687230323087	0.03320614295959871
Target words	Addiction and dependency	addikt	True	624.0	1	0.7985492534098313	0.8451711306725227	-0.01606291879801098	0.09311390104916092	0.002601859626512503	0.026250114091747743	0.08212822850863112	0.03173817520973852
Target words	Insanity and madness	zakkant	True	1057.0	1	0.8466572509435132	0.8906456433447016	-0.011884511815017582	-0.004516044213479186	0.006647852202701438	0.030180796434815003	-0.007737669183130732	0.03281743208610883
Target words	Trauma	traumatizált	False	2380.0	2	0.7711610876822849	0.8047087389931158	-0.008042632822530846	-0.07631528625618232	0.010756052189361326	0.024661802268270454	-0.07375321070324148	0.03150044452184868
Target words	Insanity and madness	elmebeteg	True	30615.0	8	0.757882725893229	0.7103499822456554	0.049178540219360155	-0.17708352380692446	0.06467099358291119	0.03311601121606761	-0.16622057203875965	0.04250555907415336
Target words	Insanity and madness	beszámíthatatlan	False	1684.0	2	0.7586969648579088	0.67494621619888	0.07506122326992053	-0.21982852820427004	0.08931448905531414	0.03286830832721506	-0.2058450621874719	0.035828651826321604
Target words	Hysteria, mania, paranoia	paranoiás	True	7761.0	5	0.7152088035405355	0.5889375128650454	0.10332374048954318	-0.2433629758599164	0.11581362079586434	0.032479471243884166	-0.22721961480540884	0.039813050176728204
Target words	Insanity and madness	flúgos	False	3176.0	3	0.9456441269465258	0.7394108546504021	0.17139478160086935	0.0674241081380538	0.18181789116585076	0.025455329466837453	0.0598622869555256	0.0405631127765647
Target words	Hysteria, mania, paranoia	hisztis	False	14725.0	7	0.8018978696801267	0.5498087364359968	0.1972455036040522	-0.0913137295901462	0.2053475521128577	0.031315176530612505	-0.08649776037743007	0.05381281878781468
Pejorative colloquial anchor	Core	fájdalmas	False	222222.0	8	0.7109895600992369	0.43298441334159343	0.2113934023972608	-0.30867330934280757	0.21841825069589946	0.03558618314747564	-0.2856759065123825	0.05938206165947161
Pejorative colloquial anchor	Core	kellemetlen	False	390815.0	9	0.7182093302005569	0.43129006866619757	0.2180991535915465	-0.3227628043816715	0.22481388903107247	0.03781515897664269	-0.2988689944497379	0.0676406683665231
Neutral/positive colloquial anchor	Core	isteni	False	409384.0	4	0.9673011320090849	0.6967408554780616	0.2183311001299135	0.19012566540875825	0.2284888051384512	0.03853987917803608	0.17480305607891497	0.08797114745869188
Neutral/positive colloquial anchor	Core	békés	True	478840.0	5	1.0194334490792945	0.7131794625654119	0.24629225975256502	0.16250471992379195	0.2540962151023083	0.03848882199522046	0.15117524894760506	0.07980893615990023
Target words	Insanity and madness	hibbant	False	3530.0	3	1.023672199506254	0.7117905590534985	0.25051057965858897	-0.05007447144807945	0.25691262116774155	0.027905412044427577	-0.04728118138529158	0.04658143703686925
Pejorative colloquial anchor	Core	ideges	False	111952.0	5	0.815039559366789	0.48911247551129866	0.2505616764345633	-0.2519113088359447	0.25574636711800375	0.03688856166120008	-0.23422504773099206	0.07190679227540074
Neutral/positive colloquial anchor	Core	elégedett	False	461130.0	5	1.0633087900231555	0.7463367032165944	0.25603725846664693	0.23419336087133347	0.2627321757321159	0.04072126142013083	0.215567497368185	0.08118646663960219
Target words	Insanity and madness	ütődött	False	571.0	1	0.9359977008700932	0.6093782781056001	0.2568364877814011	-0.11825055118912522	0.2627033986431919	0.026010053654297007	-0.11068772726165946	0.04877193156405319
Pejorative colloquial anchor	Core	feszült	False	93725.0	4	0.891255442495233	0.5438071649436668	0.2695606613919811	-0.2012676743041918	0.27488822547559133	0.03895491198677956	-0.18580097900522147	0.07584536616665127
Pejorative colloquial anchor	Core	bosszantó	False	57384.0	2	0.8683734803598733	0.49489297134354504	0.28704269128617704	-0.3288101393561891	0.29045017487047237	0.038483422040598174	-0.3033007716772271	0.06686381161275468
Pejorative colloquial anchor	Core	csúnya	False	202124.0	7	0.8673729187513416	0.4819531527869676	0.29551437168666117	-0.2606842841274078	0.2991604469444964	0.03492621882274512	-0.2417249786181415	0.06419163575851515
Target words	Insanity and madness	habókos	False	1682.0	2	0.9911139727255442	0.6112843792514076	0.29743927395820857	0.07896950141401589	0.30174945737599107	0.02292393442307472	0.07219562964736799	0.045096336612566526
Target words	Neurosis and compulsion	megszállott	True	57857.0	9	0.9980655595163301	0.6164066609962155	0.2990770423589747	0.14471969395921946	0.3041740644286894	0.02471404552227345	0.13283667339274566	0.04456860079500766
Pejorative colloquial anchor	Core	ijesztő	False	111546.0	4	0.7827831520654819	0.38620435394446995	0.2994341902043849	-0.3151383933513059	0.30309210984337814	0.032197742806312116	-0.291810108120823	0.0553792396573571
Target words	Insanity and madness	dilis	False	5133.0	4	0.9946550805146828	0.6057926776793365	0.30405404297272626	-0.012126578179593936	0.3078787211981308	0.03037486909271877	-0.012491986559788835	0.04980405974010717
Neutral/positive colloquial anchor	Core	kiváló	False	1854362.0	8	0.986956596837968	0.5948270233529553	0.3060174684669579	0.49358611265489405	0.31155573753458543	0.041234856909104174	0.455364556646088	0.07910311636156103
Neutral/positive colloquial anchor	Core	mennyei	False	151013.0	2	1.0626291101612624	0.6735463208207023	0.30746002355824703	0.24790727956724534	0.3137080236101272	0.03861965869236707	0.22869708509368847	0.08939675113328974
Pejorative colloquial anchor	Core	rossz	False	3359081.0	10	0.8657100334546809	0.45889001181928457	0.31070527318822466	-0.1849240339690691	0.3147458535875814	0.03634574436566587	-0.17157878117263736	0.07443931016677392
Pejorative colloquial anchor	Core	idegesítő	False	78387.0	3	0.8513447193193989	0.42816825237920564	0.3216900660820553	-0.2984155435485296	0.32382486282517015	0.03925435910056389	-0.2758046750372022	0.06772497215052568
Target words	Insanity and madness	bolond	True	108557.0	10	1.0224764985672492	0.6094933367369191	0.322595502633489	-0.04157450559584579	0.3258318776096337	0.0279765852279833	-0.03906508248798248	0.05376493460753299
Pejorative colloquial anchor	Core	csüggesztő	False	1146.0	1	0.9265474098893081	0.5059433576348848	0.32344862127254337	-0.22714705584399225	0.32690312714276076	0.03238286759999388	-0.21089201427941293	0.06762074307771872
Target words	Insanity and madness	őrült	False	158527.0	10	0.9411469302092205	0.5121480804063308	0.3301365308063846	-0.14378004781807657	0.33334596660519833	0.0283277958717353	-0.13351633752473233	0.05254070260956018
Pejorative colloquial anchor	Core	förtelmes	False	8748.0	1	0.8793528833801519	0.44184180589045663	0.33325716927114213	-0.23009136120147045	0.33583492153416034	0.032808507258884366	-0.21204522399925013	0.06879801657286765
Neutral/positive colloquial anchor	Core	tökéletes	False	2037570.0	9	0.9285566096293532	0.49270234419800174	0.3344265152187077	0.25982400577678205	0.339041286322267	0.03401182813817194	0.2398616034758853	0.06709570429196536
Neutral/positive colloquial anchor	Core	nyugodt	False	897201.0	6	0.9824938580492864	0.5426233742362995	0.33987041762038545	0.21356750413253978	0.34267286421774384	0.03645136373735574	0.19751032549641467	0.07722666604152689
Pejorative colloquial anchor	Core	borzasztó	False	141016.0	6	0.9253325927531857	0.476257316449352	0.34370658576397944	-0.3516831032594977	0.34471399914317	0.03746866506119653	-0.32572936990458917	0.06367284208998653
Target words	Insanity and madness	eszelős	False	11685.0	5	0.9694273735573402	0.5189140157467068	0.3468400117427981	-0.23500173079598655	0.34889865785814933	0.02929730685516565	-0.2172745861612906	0.053369124001847394
Target words	Insanity and madness	tébolyult	False	4098.0	3	0.9404612959429712	0.4801108344858338	0.3524749486651419	-0.18316279329623333	0.35452597724008245	0.030634752668565864	-0.16910660949986286	0.05889233692228577
Pejorative colloquial anchor	Core	iszonyú	False	76296.0	3	0.9336826613903946	0.46777327531138624	0.3561179272353716	-0.30381582127903917	0.3582605443818626	0.03302075216415168	-0.28173975041427357	0.07266133835591682
Pejorative colloquial anchor	Core	fárasztó	False	91901.0	3	0.948003111943888	0.47851058097074306	0.35935875737581635	-0.13266424037326907	0.3601475122341104	0.03884861852288541	-0.12128671367660356	0.07470059207852797
Neutral/positive colloquial anchor	Core	kitűnő	False	407282.0	4	0.9836896183903602	0.5032831074078348	0.36885243736020723	0.43436655689807746	0.3709584026451313	0.0378106879752311	0.4018697149598781	0.07720965461037888
Pejorative colloquial anchor	Core	borzalmas	False	108279.0	4	0.8616133843540597	0.36956282765796067	0.3713266010417393	-0.3754441724378485	0.37255663433082603	0.03478829236003832	-0.34724581006266836	0.06555475911340114
Pejorative colloquial anchor	Core	kínos	False	129761.0	5	0.9243874129909022	0.4252509812408408	0.3793830522886299	-0.3944961397957327	0.3788272868125735	0.038999241379642766	-0.36230271632529487	0.06558626706040059
Pejorative colloquial anchor	Core	szörnyű	False	210758.0	8	0.8546795348344371	0.35071927838878303	0.3794935013417805	-0.40218917876510113	0.3798649538080411	0.03556159052478002	-0.3708983382045795	0.06635274401123487
Neutral/positive colloquial anchor	Core	aranyos	False	194072.0	3	0.9973117746785872	0.49539670198107577	0.3848509476465683	0.17701920745097438	0.3850890141080018	0.030871533494692203	0.16286523094375377	0.07485919950015367
Pejorative colloquial anchor	Core	siralmas	False	28141.0	1	0.9858352994430959	0.48169581295124975	0.38588968304627314	-0.20360590107471727	0.3859401825505624	0.03151986899252548	-0.18811538666100824	0.07022122265618225
Pejorative colloquial anchor	Core	undorító	False	49103.0	2	0.9247103081357918	0.4129617253255329	0.3883980025494086	-0.34626535068517317	0.38774344755412754	0.03483954625366333	-0.3199100539014531	0.05946748619739253
Neutral/positive colloquial anchor	Core	príma	False	18064.0	1	1.0446869510785377	0.5272651201268617	0.3981803635762339	0.22229677223286673	0.3983169331285683	0.02960423135141266	0.20420024572521664	0.06968853789442182
Pejorative colloquial anchor	Core	félelmetes	False	141795.0	6	0.8876490501307976	0.3584043853949437	0.3991111808218051	-0.18684712072419313	0.3991726867913289	0.02960964534426415	-0.1736961476561509	0.06905862487470286
Pejorative colloquial anchor	Core	rettenetes	False	142404.0	7	0.9058420420887106	0.3461705541229615	0.4216922740828742	-0.3589352157051457	0.42038636630595627	0.034795297894234495	-0.33160830306443256	0.07298133849914552
Pejorative colloquial anchor	Core	rémes	False	31497.0	2	0.9071679649990885	0.3372596769044006	0.4290601771983429	-0.3051857808827358	0.42721427531220335	0.03197765463109476	-0.28077497359118875	0.05984657109206957
Neutral/positive colloquial anchor	Core	élvezetes	False	129338.0	2	1.02355415160308	0.45884949147110643	0.4309095385362585	0.24558030740054446	0.428739477176836	0.032681319806807184	0.22821600200368425	0.07248403138076805
Neutral/positive colloquial anchor	Core	kedves	False	2335176.0	9	1.0806685282725874	0.5171220984847262	0.43281267858081374	0.22276086765641445	0.4303317209983813	0.02946114208015651	0.20581285946556427	0.07396054586857684
Neutral/positive colloquial anchor	Core	csodás	False	306215.0	3	0.9567456451288274	0.3803956392367057	0.43602606532428156	0.24274467567715907	0.4355708800848489	0.029017765180399956	0.22537262707419783	0.07436875707926274
Neutral/positive colloquial anchor	Core	jókedvű	False	44156.0	1	0.9936569941130569	0.41934374382862394	0.43633677957396244	0.20499920532655164	0.4332858001698474	0.03241403618520731	0.19051069562678344	0.0723993664814363
Neutral/positive colloquial anchor	Core	boldog	False	1078232.0	7	1.0075073696885681	0.4309069295280755	0.4386309181825714	0.22868646069736331	0.4367218979435779	0.03195011902248985	0.21139794209808552	0.07306050235775971
Pejorative colloquial anchor	Core	unalmas	False	245857.0	9	1.0237562642115516	0.43612362892557077	0.4472794888633105	-0.18713192620686558	0.44369192742348545	0.035844494395240435	-0.17217788199553624	0.0728906241066275
Neutral/positive colloquial anchor	Core	jó	False	24645525.0	10	0.9996639322995252	0.4096762994372072	0.44780870067324713	0.18658034443235397	0.4458018874531036	0.03399464426944824	0.17221937427033845	0.07585451014115616
Neutral/positive colloquial anchor	Core	kellemes	False	1038359.0	7	0.9593805771540953	0.36441375050026015	0.4494360989372548	0.27371038716670926	0.44708365231374053	0.0297588857676508	0.25420229184835186	0.06852153348506435
Pejorative colloquial anchor	Core	szomorú	False	415845.0	10	0.963791438470709	0.35265963985558957	0.46118166746700406	-0.2325698195756608	0.4568460541814058	0.029978527572795396	-0.2135965979826751	0.06388991722958998
Neutral/positive colloquial anchor	Core	vidám	False	402638.0	3	1.0116271673920125	0.3707589546155383	0.4846867315674279	0.24001251351579567	0.4795737970993201	0.030314693825050212	0.22358436133572934	0.06886184974117635
Neutral/positive colloquial anchor	Core	fantasztikus	False	427267.0	4	1.0190827569686274	0.35710126712054613	0.5001086949027744	0.25293171607402043	0.4965450114268337	0.026762551989828406	0.2335053294971395	0.07052720145911974
Neutral/positive colloquial anchor	Core	remek	False	1171360.0	8	1.0568883880076054	0.38562195226404783	0.5085407389036236	0.38878543653448394	0.5042037284577877	0.03315863648002414	0.3600763496409836	0.07209194114322061
Neutral/positive colloquial anchor	Core	csodálatos	False	710988.0	6	1.021885215470948	0.3383710598275633	0.5156074734013705	0.316294783235701	0.5117053058715131	0.0284079272750316	0.2934772126959948	0.07278110071904054
Neutral/positive colloquial anchor	Core	pazar	False	65047.0	1	1.1249194103288138	0.4467148048340178	0.5167432983664741	0.3003386579598764	0.5117112109738521	0.03086006692772172	0.2808158073026574	0.06922467778403339
Neutral/positive colloquial anchor	Core	pompás	False	96998.0	2	1.1109581366043313	0.41047584592622366	0.5319723093292865	0.34732505169465305	0.5266333055328029	0.03133239919964821	0.32372306166877546	0.06943658483365
Neutral/positive colloquial anchor	Core	szép	False	4831936.0	10	1.09951297393738	0.3597439425583192	0.5594585959974385	0.24146103747057085	0.5517463836922126	0.02358666029004064	0.22413519508872728	0.06444032097668025
Neutral/positive colloquial anchor	Core	nagyszerű	False	590275.0	5	1.0979830189483135	0.35753267370307407	0.5598719275890731	0.38305704926809936	0.5534043205812887	0.03106523170371462	0.35502617889282806	0.06957185757662017
