word_type	word_subtype	word	dual_category	lemma_freq	freq_bin	dist_to_clinical	dist_to_colloquial	axis_score	valence_score	axis_score_bootstrap_mean	axis_score_bootstrap_std	valence_score_bootstrap_mean	valence_score_bootstrap_std
Clinical anchor	Course, prognosis, mechanism	malignus	False	8363.0	9	0.24000474479109057	1.0179363945126207	-0.5645913318309921	-0.036978160856073	-0.5200164205442438	0.04084474437786667	-0.042419814403508324	0.0223661368668658
Clinical anchor	Diagnostic and procedural descriptors	szisztémás	False	17285.0	10	0.26281345531724476	1.0350098203740399	-0.5594089603107327	0.04018100945214535	-0.5148136544879442	0.04112600065283452	0.028475638704326362	0.02310959134892388
Clinical anchor	Course, prognosis, mechanism	benignus	False	2674.0	7	0.3034349492086904	1.0211004618857045	-0.5185563688633101	0.04561122312489363	-0.47546764804062286	0.04624177842797537	0.034251436525984225	0.020101015803168268
Clinical anchor	Diagnostic and procedural descriptors	szubklinikai	False	1169.0	5	0.3111016762729003	0.9530745588234778	-0.46417876921568746	0.03394685576595791	-0.4235010455056647	0.048543294094404346	0.023935553326084408	0.02109972331315795
Clinical anchor	Diagnostic and procedural descriptors	posztoperatív	False	4058.0	8	0.38658417084786645	0.9855781769332428	-0.4299030684503095	0.005865542917272974	-0.39094222266200745	0.05746698502223093	-0.0015236275656113239	0.023616741106891728
Clinical anchor	Course, prognosis, mechanism	neurodegeneratív	False	2409.0	7	0.3817738943358726	0.9566959066047508	-0.41295607851786886	0.028968510078342617	-0.37535937070642744	0.057026281642901064	0.019588841917572878	0.019737894027756924
Clinical anchor	Course, prognosis, mechanism	multifaktoriális	False	1317.0	6	0.4063220881622406	0.9824288015660974	-0.4126285300188253	0.08383192542838154	-0.37680369355393717	0.05879870605130373	0.07078672230487011	0.017617632204292154
Clinical anchor	Course, prognosis, mechanism	idiopátiás	False	1143.0	5	0.43831680766665226	0.9820112462454803	-0.38797094047930036	-0.050684190872224213	-0.3506675809497055	0.06319388938542818	-0.05311341922878632	0.0211257366522847
Clinical anchor	Course, prognosis, mechanism	dekompenzált	False	442.0	2	0.5004167716863697	1.0185703396620736	-0.36677826079020603	-0.0007357326632340261	-0.33292094580785087	0.06910052726756986	-0.006665770002363439	0.021305290228058712
Target words	Trauma	traumás	True	5628.0	4	0.3533304547747472	0.8580970002644958	-0.3642553769248247	-0.11410126295429546	-0.32931037035771366	0.02478959879310835	-0.11165469275571205	0.020577472595534767
Clinical anchor	Diagnostic and procedural descriptors	patológiás	False	6849.0	8	0.3301135031466227	0.819372126651455	-0.3542992296883304	-0.10112739389714519	-0.3201055089497636	0.05478645028302458	-0.0989439511084649	0.02548480996302784
Clinical anchor	Diagnostic and procedural descriptors	juvenilis	False	1804.0	6	0.4572567361495926	0.9360514405882241	-0.34075588727593664	0.07472416712216676	-0.3055402519383631	0.06529077334357926	0.06259567909444225	0.020158382793702682
Target words	Mood disorder	bipoláris	False	13388.0	6	0.509339040169953	0.9366136394787541	-0.30150408767345194	-0.043488741017704266	-0.268780360983966	0.025775886573747957	-0.045944955097774104	0.028466904759690326
Target words	Contemporary loanwords	toxikus	False	35778.0	8	0.4619798415931483	0.8682887886641314	-0.28880738008325046	-0.07717700554135414	-0.2568620547781094	0.02826964690109203	-0.07718719867135695	0.02743341739025843
Clinical anchor	Course, prognosis, mechanism	terápiarezisztens	False	658.0	4	0.5527600470841191	0.9603193387361095	-0.2853606682895199	-0.05567280014364068	-0.2555190644522898	0.07773886622368306	-0.05655931400651022	0.022033031598053348
Clinical anchor	Course, prognosis, mechanism	iatrogén	False	814.0	4	0.46055167983538525	0.8585815860350544	-0.2829679317165285	-0.012488683354114873	-0.2523218925745025	0.06796779593434342	-0.01624400664128487	0.021986679239253466
Target words	Psychotic spectrum	pszichotikus	False	6997.0	4	0.3714538720037429	0.7408719257871903	-0.2668098997690188	-0.10490294816811564	-0.23665480756343787	0.026951950883719097	-0.10253627669217001	0.02104775805395642
Target words	Hysteria, mania, paranoia	mániás	False	11943.0	6	0.45527235503266694	0.7670965011466292	-0.2217072238639669	-0.15745417808812734	-0.19396586709011251	0.02733021998823316	-0.15097804722717578	0.02694411335942103
Target words	Panic and phobia	fóbiás	True	2728.0	2	0.48650357896747487	0.7865742283602866	-0.21182775861982894	-0.1404228819852731	-0.18450431857261224	0.026776956193906343	-0.13506427955685013	0.026415824437792553
Clinical anchor	Diagnostic and procedural descriptors	kontraindikált	False	477.0	3	0.647011513767652	0.908614261904229	-0.1767072914003591	-0.022298850409781017	-0.15017232563610963	0.0843433365785512	-0.02484406170821917	0.03093772096002188
Target words	Neurodevelopmental	autista	True	57717.0	9	0.7167479018541552	0.9662175197703703	-0.16471654390033225	0.12756209821890133	-0.13886631507755257	0.028691167516938326	0.1131314989118048	0.028768619994947484
Target words	Psychotic spectrum	szkizofrén	True	1352.0	1	0.6004667558084914	0.8280790227245359	-0.15467756264713833	-0.11377196326526412	-0.12984575451377803	0.024597882043636443	-0.1096702769379257	0.023693838286055938
Clinical anchor	Course, prognosis, mechanism	gyógyszerrezisztens	False	451.0	2	0.6271957547416407	0.8538620542843822	-0.15272510689040933	-0.03314342169294779	-0.12848892868651174	0.08340343760560555	-0.03468176945761447	0.026760802341459156
Target words	Neurosis and compulsion	neurotikus	False	10350.0	5	0.47157870114328726	0.6434988893094067	-0.12109782009617351	-0.15643863765002683	-0.09812245495678641	0.030918603168782793	-0.14873997526670268	0.02654604348088048
Target words	Addiction and dependency	függő	False	717965.0	10	0.7814972416503541	0.9534797141557194	-0.10633024793163787	0.002342911025926382	-0.08266913173039671	0.029455145101948844	-0.0015648637547130849	0.03142121020484261
Target words	Neurodevelopmental	hiperaktív	False	14740.0	7	0.5860840427358794	0.7302846593581849	-0.09584570913033248	-0.02495035176305356	-0.07420392530664353	0.030098688878866787	-0.027497666822515726	0.03693950078917618
