word_type	word_subtype	word	dual_category	lemma_freq	llfpm10	freq_bin	mds_x	mds_y
Clinical anchor	Course, prognosis, mechanism	benignus	False	2674.0	0.4941765184680077	7	0.6190085086110368	-0.40447940945115973
Clinical anchor	Course, prognosis, mechanism	dekompenzált	False	442.0	-0.2875626151088659	2	0.5161159073880207	-0.6098088436560751
Clinical anchor	Course, prognosis, mechanism	gyógyszerrezisztens	False	451.0	-0.2788083425799973	2	0.5940604676635801	0.2088174008494768
Clinical anchor	Course, prognosis, mechanism	iatrogén	False	814.0	-0.0223604795687566	4	0.6379569595232542	0.05498513164486153
Clinical anchor	Course, prognosis, mechanism	idiopátiás	False	1143.0	0.1250613459373238	5	0.5353220348049056	-0.5016557111024396
Clinical anchor	Course, prognosis, mechanism	komorbid	False	655.0	-0.1167435844661748	3		
Clinical anchor	Course, prognosis, mechanism	malignus	False	8363.0	0.9893772123268322	9	0.6237166054731056	-0.36099222571294154
Clinical anchor	Course, prognosis, mechanism	multifaktoriális	False	1317.0	0.1866008905038259	6	0.34312765493220343	-0.6711479937251232
Clinical anchor	Course, prognosis, mechanism	neurodegeneratív	False	2409.0	0.4488519155403856	7	0.6942616434948918	-0.14329348134523742
Clinical anchor	Course, prognosis, mechanism	prodromális	False	185.0	-0.6658131560549441	1		
Clinical anchor	Course, prognosis, mechanism	terápiarezisztens	False	658.0	-0.1147589908440023	4	0.7516751916997002	0.06551470457673354
Clinical anchor	Diagnostic and procedural descriptors	aszimptomatikus	False	187.0	-0.6611432779214589	1		
Clinical anchor	Diagnostic and procedural descriptors	juvenilis	False	1804.0	0.3232516487479651	6	0.4333603944877269	-0.5680835976968843
Clinical anchor	Diagnostic and procedural descriptors	kontraindikált	False	477.0	-0.2544665054178439	3	0.6505376563447618	0.29043220882734144
Clinical anchor	Diagnostic and procedural descriptors	patológiás	False	6849.0	0.9026422817519398	8	0.4638366717395527	-0.2600266100395704
Clinical anchor	Diagnostic and procedural descriptors	posztoperatív	False	4058.0	0.6753271582393694	8	0.6935755191138854	-0.2625736825761658
Clinical anchor	Diagnostic and procedural descriptors	szisztémás	False	17285.0	1.3046844994204678	10	0.7264854941535601	-0.24346169111184768
Clinical anchor	Diagnostic and procedural descriptors	szubklinikai	False	1169.0	0.1348296267038823	5	0.6556044996603011	-0.18382254298208137
Neutral/positive colloquial anchor	Core	aranyos	False	194072.0	2.3549779970269067	3	-0.5907237457695196	0.09052793285900253
Neutral/positive colloquial anchor	Core	boldog	False	1078232.0	3.0997273323104837	7	-0.4287050099447053	0.2133457088044311
Neutral/positive colloquial anchor	Core	békés	True	478840.0	2.747205537672569	5	-0.7656374755789398	-0.06190072427721636
Neutral/positive colloquial anchor	Core	csodálatos	False	710988.0	2.918877386345279	6	-0.5420731061255035	0.23381101516635455
Neutral/positive colloquial anchor	Core	csodás	False	306215.0	2.5530415764231313	3	-0.5276152428625596	0.14796455103389644
Neutral/positive colloquial anchor	Core	elégedett	False	461130.0	2.730838492826806	5	0.21336490350354834	0.7465048117289264
Neutral/positive colloquial anchor	Core	fantasztikus	False	427267.0	2.6977144668863993	4	-0.43309203880124236	0.35693195509566006
Neutral/positive colloquial anchor	Core	isteni	False	409384.0	2.6791459806211004	4	-0.5394404526595423	-0.5331140988402996
Neutral/positive colloquial anchor	Core	jó	False	24645525.0	4.458753189490464	10	-0.08130709671637262	0.5548532280464122
Neutral/positive colloquial anchor	Core	jókedvű	False	44156.0	1.7120048402131642	1	-0.2791458807650824	0.32132964025185906
